Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,91.470001,91.739998,90.290001,91.120003,961700,91.120003
2016-12-12,90.900002,91.599998,90.660004,91.32,710700,91.015001
2016-12-09,91.68,91.68,90.129997,90.690002,869400,90.387108
2016-12-08,90.00,92.239998,89.309998,91.800003,1564400,91.493401
2016-12-07,86.239998,88.870003,86.239998,88.800003,805200,88.503421
2016-12-06,85.739998,86.629997,85.599998,86.32,1332600,86.031701
2016-12-05,85.559998,86.449997,85.410004,86.279999,1173800,85.991833
2016-12-02,85.68,85.980003,84.370003,84.860001,677900,84.576578
2016-12-01,88.290001,88.290001,85.400002,85.650002,1159000,85.36394
2016-11-30,86.610001,88.730003,86.610001,87.779999,1720700,87.486824
2016-11-29,83.580002,87.169998,83.099998,85.949997,1158600,85.662934
2016-11-28,84.099998,84.779999,83.910004,83.959999,547000,83.679582
2016-11-25,83.93,84.50,83.709999,84.00,200200,83.71945
2016-11-23,83.900002,84.190002,83.040001,83.879997,536100,83.599848
2016-11-22,84.010002,84.599998,83.519997,84.300003,653900,84.018451
2016-11-21,82.809998,83.900002,82.580002,83.849998,743300,83.569949
2016-11-18,82.949997,83.279999,82.18,82.459999,529800,82.184592
2016-11-17,81.93,83.220001,81.779999,82.970001,899900,82.692891
2016-11-16,80.290001,81.82,79.839996,81.550003,1076200,81.277635
2016-11-15,77.25,80.160004,77.25,80.120003,1270800,79.852411
2016-11-14,80.720001,81.00,76.32,77.080002,1933600,76.822563
2016-11-11,81.00,81.480003,80.139999,80.43,1115400,80.161373
2016-11-10,80.730003,82.00,80.099998,81.519997,1302200,81.247729
2016-11-09,81.910004,82.209999,79.209999,80.419998,2626400,80.151404
2016-11-08,85.989998,86.879997,82.68,82.75,1818200,82.473624
2016-11-07,85.019997,86.879997,84.690002,86.279999,1412300,85.991833
2016-11-04,83.599998,84.410004,82.699997,83.480003,845400,83.20119
2016-11-03,82.599998,84.480003,82.300003,83.800003,1009200,83.520121
2016-11-02,82.510002,82.93,81.800003,82.25,626800,81.975294
2016-11-01,83.57,84.260002,82.220001,82.900002,1071200,82.623125
2016-10-31,82.959999,84.169998,82.739998,83.550003,1104600,83.270956
2016-10-28,82.25,84.040001,82.230003,82.910004,647900,82.633094
2016-10-27,81.760002,82.410004,81.269997,82.050003,634700,81.775965
2016-10-26,81.290001,82.00,80.68,81.089996,697200,80.819165
2016-10-25,83.190002,83.190002,82.00,82.099998,424600,81.825794
2016-10-24,83.040001,83.489998,82.199997,83.360001,607800,83.081588
2016-10-21,82.889999,82.889999,81.540001,82.199997,594400,81.925458
2016-10-20,81.949997,83.440002,81.879997,83.019997,436700,82.742719
2016-10-19,81.800003,82.650002,81.010002,82.589996,552900,82.314155
2016-10-18,82.470001,82.709999,81.629997,81.660004,503400,81.387269
2016-10-17,80.809998,81.510002,80.75,81.260002,595900,80.988603
2016-10-14,81.139999,81.779999,80.769997,80.860001,621200,80.589937
2016-10-13,80.260002,80.949997,79.080002,80.440002,662900,80.171342
