Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,15.72,15.84,15.70,15.71,1626000,15.71
2016-12-12,15.82,15.92,15.66,15.68,2652000,15.68
2016-12-09,16.00,16.139999,15.81,15.84,2672000,15.84
2016-12-08,15.56,16.110001,15.52,15.97,3020300,15.97
2016-12-07,15.26,15.70,15.26,15.56,3694400,15.56
2016-12-06,15.09,15.36,14.80,15.32,3031900,15.32
2016-12-05,14.76,15.08,14.71,15.06,3070800,15.06
2016-12-02,14.54,14.79,14.52,14.63,2351500,14.63
2016-12-01,14.31,14.60,14.27,14.53,2988600,14.53
2016-11-30,14.57,14.60,14.34,14.35,3271400,14.35
2016-11-29,14.80,14.87,14.42,14.50,2224600,14.50
2016-11-28,14.84,14.91,14.75,14.82,1628400,14.82
2016-11-25,14.92,14.97,14.81,14.86,1118300,14.86
2016-11-23,14.93,14.95,14.76,14.90,1747700,14.90
2016-11-22,15.04,15.10,14.86,14.90,1934200,14.90
2016-11-21,14.73,14.99,14.66,14.98,2459200,14.98
2016-11-18,14.89,14.92,14.66,14.67,1537400,14.67
2016-11-17,14.86,14.96,14.79,14.89,1554700,14.89
2016-11-16,14.90,14.96,14.78,14.90,2242100,14.711999
2016-11-15,14.95,15.07,14.67,14.94,3349500,14.751495
2016-11-14,15.22,15.34,14.95,14.96,2542900,14.771243
2016-11-11,15.01,15.22,14.96,15.18,2417300,14.988467
2016-11-10,14.95,15.19,14.89,15.05,3744900,14.860107
2016-11-09,14.54,14.94,14.43,14.86,3546100,14.672504
2016-11-08,14.68,14.77,14.57,14.66,2609200,14.475028
2016-11-07,14.50,14.87,14.48,14.70,2761600,14.514523
2016-11-04,14.74,14.74,14.22,14.24,3969100,14.060327
2016-11-03,14.59,14.98,14.56,14.72,3155200,14.534271
2016-11-02,14.61,15.10,14.55,14.58,5216700,14.396037
2016-11-01,15.92,16.219999,14.40,14.54,11088000,14.356542
2016-10-31,18.18,18.200001,17.799999,17.84,2621500,17.614905
2016-10-28,17.41,18.139999,17.41,18.09,2194800,17.86175
2016-10-27,17.77,17.799999,17.32,17.370001,1304700,17.150835
2016-10-26,17.370001,17.75,17.32,17.68,1372200,17.456923
2016-10-25,17.280001,17.469999,17.26,17.440001,1160200,17.219952
2016-10-24,17.280001,17.469999,17.24,17.32,773200,17.101465
2016-10-21,17.08,17.299999,17.02,17.15,1265200,16.93361
2016-10-20,17.280001,17.33,17.139999,17.190001,779700,16.973106
2016-10-19,17.25,17.51,17.23,17.33,1050400,17.111339
2016-10-18,17.200001,17.280001,17.129999,17.219999,609500,17.002727
2016-10-17,16.969999,17.26,16.92,17.030001,779400,16.815125
2016-10-14,17.00,17.209999,16.92,16.969999,570000,16.755881
2016-10-13,17.27,17.290001,16.91,16.93,1185500,16.716387
