Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,55.900002,56.830002,55.900002,56.689999,5485800,56.689999
2016-12-12,55.689999,56.080002,55.240002,55.889999,4128600,55.889999
2016-12-09,56.380001,56.48,55.419998,55.84,3561600,55.84
2016-12-08,56.990002,56.990002,55.880001,56.169998,6757600,56.169998
2016-12-07,55.349998,57.209999,55.00,57.099998,8286100,57.099998
2016-12-06,54.860001,55.34,54.200001,55.299999,5421600,55.299999
2016-12-05,54.040001,55.09,53.950001,54.759998,6414000,54.759998
2016-12-02,53.860001,54.560001,53.75,54.02,4619600,54.02
2016-12-01,55.240002,55.57,53.889999,54.080002,6484300,54.080002
2016-11-30,55.75,56.259998,54.98,55.080002,5009800,55.080002
2016-11-29,56.799999,56.950001,55.52,55.630001,7217000,55.630001
2016-11-28,58.02,58.50,56.830002,56.950001,24744100,56.950001
2016-11-25,52.040001,53.509998,52.00,53.25,5412600,53.25
2016-11-23,52.599998,52.650002,51.349998,51.860001,11782800,51.860001
2016-11-22,53.110001,53.549999,52.369999,53.18,13330100,53.18
2016-11-21,55.529999,55.669998,54.68,55.099998,6514800,55.099998
2016-11-18,56.50,56.860001,55.040001,55.57,9671000,55.57
2016-11-17,55.25,56.939999,55.130001,56.380001,10430000,56.380001
2016-11-16,53.790001,55.450001,53.77,55.330002,7232800,55.330002
2016-11-15,53.939999,54.41,53.75,54.169998,5747000,54.169998
2016-11-14,54.07,54.279999,53.09,53.950001,8622200,53.950001
2016-11-11,53.799999,54.119999,52.82,53.950001,10084000,53.950001
2016-11-10,53.459999,54.66,52.959999,53.810001,9833900,53.810001
2016-11-09,52.509998,53.189999,51.459999,53.009998,21604200,53.009998
2016-11-08,54.75,55.23,54.330002,54.889999,6802200,54.889999
2016-11-07,54.00,55.25,53.52,54.75,10761800,54.75
2016-11-04,51.529999,52.98,51.50,52.080002,8291600,52.080002
2016-11-03,51.52,51.939999,51.380001,51.650002,5407600,51.650002
2016-11-02,51.490002,52.189999,51.220001,51.41,3494500,51.41
2016-11-01,51.990002,51.990002,51.119999,51.50,4121400,51.50
2016-10-31,51.900002,51.98,51.16,51.349998,3865700,51.349998
2016-10-28,51.52,51.959999,51.400002,51.57,6042400,51.57
2016-10-27,51.040001,51.50,50.860001,51.299999,3780300,51.299999
2016-10-26,50.549999,51.119999,50.43,50.869999,3386500,50.869999
2016-10-25,50.389999,51.040001,50.310001,50.639999,7715600,50.639999
2016-10-24,50.200001,50.900002,50.110001,50.450001,6622600,50.450001
2016-10-21,49.93,50.02,49.349998,49.709999,4665100,49.709999
2016-10-20,50.700001,50.700001,49.720001,50.080002,5683200,50.080002
2016-10-19,50.43,50.84,50.25,50.389999,3236000,50.389999
2016-10-18,50.27,50.630001,49.700001,50.220001,4249700,50.220001
2016-10-17,50.490002,50.919998,50.060001,50.099998,3351100,50.099998
2016-10-14,50.700001,51.66,50.330002,50.34,6275400,50.34
2016-10-13,49.790001,51.369999,49.68,51.25,9047900,51.25
