Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,63.610001,63.650002,62.580002,63.150002,2044500,63.150002
2016-12-12,62.759998,63.34,62.549999,63.02,1612800,63.02
2016-12-09,62.849998,63.740002,62.73,62.869999,2805300,62.869999
2016-12-08,62.290001,63.099998,61.91,62.900002,1999200,62.900002
2016-12-07,61.799999,62.650002,61.740002,62.630001,3260300,62.630001
2016-12-06,61.23,62.119999,61.110001,61.790001,4383900,61.790001
2016-12-05,60.52,61.139999,60.279999,61.09,3063100,61.09
2016-12-02,60.150002,60.98,60.00,60.50,2044400,60.50
2016-12-01,59.599998,60.220001,59.110001,59.700001,2996900,59.700001
2016-11-30,60.040001,60.700001,59.639999,60.009998,3623900,60.009998
2016-11-29,60.119999,60.93,60.049999,60.490002,2596600,60.490002
2016-11-28,59.34,60.650002,59.330002,59.98,2216800,59.98
2016-11-25,59.299999,59.740002,58.939999,59.43,773500,59.43
2016-11-23,59.77,59.880001,58.450001,59.209999,1813000,59.209999
2016-11-22,59.040001,60.240002,58.689999,60.060001,2082400,60.060001
2016-11-21,59.049999,59.669998,58.709999,58.810001,1943400,58.810001
2016-11-18,59.150002,59.389999,58.279999,58.98,1727500,58.98
2016-11-17,59.869999,60.549999,58.860001,58.990002,1411500,58.990002
2016-11-16,59.18,60.09,58.91,59.93,2075400,59.93
2016-11-15,61.25,61.50,58.599998,59.299999,3802600,59.299999
2016-11-14,60.099998,61.57,59.02,61.00,3059600,61.00
2016-11-11,60.00,61.099998,59.869999,60.049999,2321300,60.049999
2016-11-10,61.439999,61.439999,59.290001,59.98,2336900,59.98
2016-11-09,61.41,62.43,60.209999,61.279999,2491900,61.279999
2016-11-08,61.66,62.82,61.32,62.57,1568300,62.57
2016-11-07,62.330002,62.549999,61.279999,61.610001,1760500,61.610001
2016-11-04,61.50,61.950001,61.07,61.59,1698300,61.59
2016-11-03,60.889999,61.73,60.75,61.299999,2035400,61.299999
2016-11-02,61.060001,61.98,60.75,60.869999,2335500,60.869999
2016-11-01,61.639999,61.82,60.549999,60.82,2129200,60.82
2016-10-31,60.540001,61.939999,60.330002,61.75,2013800,61.75
2016-10-28,59.990002,60.939999,59.869999,60.18,1810700,60.18
2016-10-27,60.970001,60.970001,59.580002,59.849998,2064400,59.849998
2016-10-26,61.439999,61.560001,60.040001,61.150002,2433200,61.150002
2016-10-25,60.040001,60.73,59.860001,60.369999,2733400,60.369999
2016-10-24,61.389999,61.77,60.560001,60.709999,1498900,60.709999
2016-10-21,60.57,61.240002,60.43,61.029999,1867500,61.029999
2016-10-20,61.189999,61.619999,60.82,61.029999,1866100,61.029999
2016-10-19,61.060001,61.380001,60.860001,61.240002,2720100,61.240002
2016-10-18,61.990002,62.18,60.919998,61.080002,2222000,61.080002
2016-10-17,62.209999,62.209999,61.310001,61.34,1949900,61.34
2016-10-14,61.27,62.02,60.860001,61.400002,2293200,61.400002
2016-10-13,60.830002,61.34,60.50,61.150002,2279200,61.150002
