Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,45.110001,45.419998,44.77,45.02,2514700,45.02
2016-12-12,44.689999,45.310001,44.689999,44.990002,2516900,44.990002
2016-12-09,44.209999,44.869999,44.09,44.84,2493100,44.84
2016-12-08,43.93,44.200001,43.75,44.080002,2770500,44.080002
2016-12-07,43.630001,44.27,43.130001,44.119999,5742200,44.119999
2016-12-06,44.080002,44.450001,43.470001,43.990002,5237500,43.990002
2016-12-05,44.139999,44.32,43.50,43.889999,7122600,43.889999
2016-12-02,43.779999,44.200001,43.689999,44.009998,5933600,44.009998
2016-12-01,44.419998,44.779999,43.32,43.630001,8505000,43.630001
2016-11-30,44.68,44.779999,43.240002,44.369999,9262300,44.369999
2016-11-29,46.68,46.779999,44.68,44.759998,10201500,44.629999
2016-11-28,46.580002,46.939999,46.529999,46.610001,2468000,46.474629
2016-11-25,46.779999,47.040001,46.619999,46.720001,1117000,46.58431
2016-11-23,46.02,46.799999,46.00,46.560001,2321000,46.424775
2016-11-22,46.889999,46.889999,45.599998,46.18,5318700,46.045877
2016-11-21,47.220001,47.43,46.919998,47.060001,1998700,46.923322
2016-11-18,47.099998,47.189999,46.799999,46.98,2399300,46.843553
2016-11-17,46.09,47.150002,46.040001,47.099998,4135600,46.963203
2016-11-16,46.080002,46.669998,45.98,46.040001,4743800,45.906284
2016-11-15,45.189999,46.189999,45.029999,46.07,4520300,45.936196
2016-11-14,46.91,47.00,44.959999,45.02,5467200,44.889246
2016-11-11,47.790001,48.02,46.790001,46.82,3402200,46.684018
2016-11-10,47.029999,47.98,46.869999,47.84,4331100,47.701056
2016-11-09,47.860001,48.00,45.799999,46.599998,7559700,46.464656
2016-11-08,47.509998,48.349998,47.349998,48.080002,4412500,47.94036
2016-11-07,47.610001,49.290001,47.419998,47.619999,2376500,47.481694
2016-11-04,47.049999,47.419998,46.889999,46.990002,3187400,46.853526
2016-11-03,46.93,47.290001,46.84,46.880001,3193500,46.743845
2016-11-02,46.849998,47.34,46.669998,46.740002,5649900,46.604252
2016-11-01,47.650002,47.66,46.580002,46.889999,7288000,46.753814
2016-10-31,47.200001,47.709999,46.77,47.59,4176500,47.451782
2016-10-28,46.91,47.75,46.75,47.200001,4525100,47.062915
2016-10-27,47.669998,47.669998,46.549999,46.82,5657200,46.684018
2016-10-26,49.130001,49.189999,47.299999,47.439999,6697600,47.302216
2016-10-25,49.939999,50.16,48.91,49.16,9771400,49.017222
2016-10-24,48.549999,48.91,48.299999,48.439999,5544900,48.299312
2016-10-21,47.810001,48.240002,47.59,48.18,3667000,48.040068
2016-10-20,47.790001,48.34,47.720001,48.189999,2066700,48.050038
2016-10-19,48.119999,48.25,47.50,47.830002,2822200,47.691087
2016-10-18,47.779999,48.110001,47.360001,48.060001,2720300,47.920418
2016-10-17,47.439999,47.549999,47.32,47.369999,2470800,47.23242
2016-10-14,48.00,48.25,47.380001,47.450001,4489800,47.312189
2016-10-13,46.950001,47.889999,46.639999,47.720001,6311800,47.581405
